dataset,seed,n_neurons_added_sum,parameters
airfoil,0,144,4224
airfoil,1,144,4224
airfoil,2,168,5216
airfoil,3,108,2976
airfoil,4,132,3776
airfoil,5,156,4704
airfoil,6,144,4224
airfoil,7,144,4224
airfoil,8,144,4224
airfoil,9,132,3776
airfoil,10,108,2976
airfoil,11,168,5216
airfoil,12,156,4704
airfoil,13,156,4704
airfoil,14,144,4224
airfoil,15,132,3776
airfoil,16,168,5216
airfoil,17,108,2976
airfoil,18,120,3360
airfoil,19,132,3776
airfoil,20,144,4224
airfoil,21,120,3360
airfoil,22,156,4704
airfoil,23,120,3360
airfoil,24,132,3776
airfoil,25,132,3776
airfoil,26,144,4224
airfoil,27,156,4704
airfoil,28,144,4224
airfoil,29,156,4704
bioav,0,144,16496
bioav,1,156,17920
bioav,2,144,16496
bioav,3,156,17920
bioav,4,132,15104
bioav,5,132,15104
bioav,6,144,16496
bioav,7,144,16496
bioav,8,168,19376
bioav,9,156,17920
bioav,10,108,12416
bioav,11,144,16496
bioav,12,120,13744
bioav,13,120,13744
bioav,14,132,15104
bioav,15,156,17920
bioav,16,168,19376
bioav,17,108,12416
bioav,18,132,15104
bioav,19,120,13744
bioav,20,156,17920
bioav,21,156,17920
bioav,22,132,15104
bioav,23,144,16496
bioav,24,120,13744
bioav,25,132,15104
bioav,26,144,16496
bioav,27,108,12416
bioav,28,144,16496
bioav,29,132,15104
concrete_strength,0,120,3492
concrete_strength,1,144,4380
concrete_strength,2,144,4380
concrete_strength,3,132,3920
concrete_strength,4,132,3920
concrete_strength,5,120,3492
concrete_strength,6,144,4380
concrete_strength,7,156,4872
concrete_strength,8,144,4380
concrete_strength,9,144,4380
concrete_strength,10,108,3096
concrete_strength,11,120,3492
concrete_strength,12,156,4872
concrete_strength,13,120,3492
concrete_strength,14,108,3096
concrete_strength,15,132,3920
concrete_strength,16,144,4380
concrete_strength,17,132,3920
concrete_strength,18,168,5396
concrete_strength,19,168,5396
concrete_strength,20,96,2732
concrete_strength,21,144,4380
concrete_strength,22,120,3492
concrete_strength,23,144,4380
concrete_strength,24,108,3096
concrete_strength,25,108,3096
concrete_strength,26,144,4380
concrete_strength,27,120,3492
concrete_strength,28,156,4872
concrete_strength,29,132,3920
ld50,0,132,33584
ld50,1,180,42476
ld50,2,144,36516
ld50,3,120,30684
ld50,4,132,33584
ld50,5,144,36516
ld50,6,156,39480
ld50,7,180,45504
ld50,8,132,33584
ld50,9,192,48564
ld50,10,156,39480
ld50,11,180,45504
ld50,12,168,42476
ld50,13,144,36516
ld50,14,168,42476
ld50,15,132,33584
ld50,16,144,36516
ld50,17,120,30684
ld50,18,168,42476
ld50,19,120,30684
ld50,20,132,33584
ld50,21,144,36516
ld50,22,132,33584
ld50,23,132,33584
ld50,24,180,45504
ld50,25,132,33584
ld50,26,156,39480
ld50,27,156,39480
ld50,28,144,36516
ld50,29,108,27816
