dataset,seed,test_rmse,train_rmse
airfoil,0,6.768215179443359,6.919011116027832
airfoil,1,6.823851585388184,6.870140552520752
airfoil,2,6.52220344543457,6.701826572418213
airfoil,3,6.793621063232422,6.9102911949157715
airfoil,4,6.275582790374756,6.798219680786133
airfoil,5,6.292492389678955,6.6583967208862305
airfoil,6,6.784125328063965,6.896486282348633
airfoil,7,7.250164985656738,7.059903144836426
airfoil,8,6.494394779205322,6.720167636871338
airfoil,9,7.005071640014648,7.2523298263549805
airfoil,10,6.917320728302002,7.0875444412231445
airfoil,11,7.173161506652832,7.06894063949585
airfoil,12,6.860849380493164,6.746182441711426
airfoil,13,6.844830513000488,6.797158241271973
airfoil,14,7.116028785705566,7.06828498840332
airfoil,15,6.903123378753662,7.052451133728027
airfoil,16,6.547608375549316,6.782026767730713
airfoil,17,6.791396617889404,6.742157459259033
airfoil,18,6.986631870269775,7.141784191131592
airfoil,19,7.080484867095947,6.750019550323486
airfoil,20,6.904514312744141,6.811328411102295
airfoil,21,7.214005470275879,7.254825115203857
airfoil,22,7.1383771896362305,6.660588264465332
airfoil,23,7.3092145919799805,7.074722766876221
airfoil,24,7.432530879974365,7.345432281494141
airfoil,25,7.518883228302002,7.331340789794922
airfoil,26,7.200180530548096,6.776853561401367
airfoil,27,6.949267387390137,6.803403377532959
airfoil,28,6.933717250823975,6.898031234741211
airfoil,29,7.153746604919434,6.925784587860107
bioav,0,36.31000900268555,32.27545166015625
bioav,1,30.16895294189453,31.28240394592285
bioav,2,27.819089889526367,30.2749080657959
bioav,3,31.033926010131836,31.86139678955078
bioav,4,29.409578323364258,30.871091842651367
bioav,5,29.151914596557617,30.328067779541016
bioav,6,27.37683868408203,30.187307357788086
bioav,7,28.475322723388672,30.492618560791016
bioav,8,32.790191650390625,31.191633224487305
bioav,9,26.91585922241211,29.927854537963867
bioav,10,31.52199363708496,29.75771713256836
bioav,11,29.508150100708008,31.345394134521484
bioav,12,29.566041946411133,30.072738647460938
bioav,13,31.213228225708008,30.735076904296875
bioav,14,28.579362869262695,31.366809844970703
bioav,15,28.64288330078125,30.10247039794922
bioav,16,30.148860931396484,30.245691299438477
bioav,17,27.653913497924805,29.363054275512695
bioav,18,28.780649185180664,30.25697898864746
bioav,19,33.12259292602539,31.649333953857422
bioav,20,31.436969757080078,30.556411743164062
bioav,21,30.297161102294922,31.88499641418457
bioav,22,34.30921936035156,30.42487335205078
bioav,23,29.171215057373047,31.395187377929688
bioav,24,29.969881057739258,30.128494262695312
bioav,25,34.270198822021484,31.4862117767334
bioav,26,30.89381980895996,31.905651092529297
bioav,27,31.997182846069336,31.045543670654297
bioav,28,31.60845375061035,30.3526668548584
bioav,29,30.99148941040039,31.277992248535156
concrete_strength,0,15.777134895324707,15.688587188720703
concrete_strength,1,16.632129669189453,16.386396408081055
concrete_strength,2,15.34350299835205,15.868099212646484
concrete_strength,3,16.58769416809082,15.662487983703613
concrete_strength,4,16.56342124938965,16.720420837402344
concrete_strength,5,16.657611846923828,15.496195793151855
concrete_strength,6,16.088912963867188,16.655698776245117
concrete_strength,7,15.264101028442383,15.505562782287598
concrete_strength,8,17.240882873535156,16.722043991088867
concrete_strength,9,16.61683464050293,16.626667022705078
concrete_strength,10,17.051593780517578,16.249755859375
concrete_strength,11,16.317604064941406,17.537691116333008
concrete_strength,12,15.021722793579102,16.086898803710938
concrete_strength,13,17.34396743774414,16.643314361572266
concrete_strength,14,15.484917640686035,16.926979064941406
concrete_strength,15,15.760527610778809,16.061641693115234
concrete_strength,16,15.772839546203613,16.459877014160156
concrete_strength,17,15.167658805847168,16.59589385986328
concrete_strength,18,14.359710693359375,14.828513145446777
concrete_strength,19,17.089357376098633,17.01175308227539
concrete_strength,20,16.657047271728516,16.987146377563477
concrete_strength,21,16.122486114501953,16.111526489257812
concrete_strength,22,16.13938331604004,15.881575584411621
concrete_strength,23,17.55758285522461,17.073596954345703
concrete_strength,24,17.07767105102539,16.913328170776367
concrete_strength,25,15.839545249938965,16.438283920288086
concrete_strength,26,16.06005859375,17.086029052734375
concrete_strength,27,17.052234649658203,16.65605354309082
concrete_strength,28,17.13972282409668,16.95792007446289
concrete_strength,29,15.386276245117188,15.433072090148926
ld50,0,2029.4979248046875,2317.806396484375
ld50,1,1995.5155029296875,1959.5634765625
ld50,2,2337.48046875,2052.88232421875
ld50,3,2168.896240234375,2127.98095703125
ld50,4,1904.5020751953125,2002.500244140625
ld50,5,2291.655517578125,1959.077880859375
ld50,6,1717.751220703125,1792.6002197265625
ld50,7,2401.426025390625,2146.68212890625
ld50,8,1704.84814453125,2007.2777099609375
ld50,9,2623.973876953125,2125.728271484375
ld50,10,2045.3251953125,2046.1983642578125
ld50,11,1635.8311767578125,1993.7108154296875
ld50,12,1844.9996337890625,2122.299072265625
ld50,13,1665.5465087890625,1923.574951171875
ld50,14,2235.31494140625,1988.531005859375
ld50,15,1701.6827392578125,2123.632568359375
ld50,16,2186.171875,2114.916748046875
ld50,17,1967.7908935546875,1975.156982421875
ld50,18,2016.5130615234375,2118.603271484375
ld50,19,2167.56298828125,2004.78369140625
ld50,20,1736.305908203125,2147.08349609375
ld50,21,2216.90576171875,2012.5447998046875
ld50,22,11219.5380859375,2130.241943359375
ld50,23,2793.18798828125,2070.6513671875
ld50,24,1883.4713134765625,2036.953125
ld50,25,1917.2392578125,2088.045166015625
ld50,26,2021.46923828125,2135.553955078125
ld50,27,1953.1383056640625,2019.94921875
ld50,28,1579.341064453125,1940.0322265625
ld50,29,1768.163330078125,2079.22705078125
